teks,label
beranda,pergi beranda
utama,pergi beranda
pilih beranda,pergi beranda
kembali ke beranda,pergi beranda
pergi ke halaman utama,pergi beranda
lihat beranda,pergi beranda
pergi ke halaman awal,pergi beranda
pergi ke menu beranda,pergi beranda
pergi ke home,pergi beranda
pergi ke beranda,pergi beranda
Buka halaman utama,pergi beranda
Navigasi ke beranda,pergi beranda
Klik menu home,pergi beranda
Pindah ke halaman awal,pergi beranda
pergi ke awal,pergi beranda
pergi ke utama,pergi beranda
pergi tab beranda,pergi beranda
pergi ke halaman depan,pergi beranda
Masuk ke halaman utama,pergi beranda
Tampilkan beranda,pergi beranda
Buka beranda situs,pergi beranda
Kunjungi halaman home,pergi beranda
Klik tautan home,pergi beranda
Arahkan ke halaman depan,pergi beranda
pergi ke halaman beranda,pergi beranda
pergi ke halaman pertatama,pergi beranda
Buka halaman beranda,pergi beranda
Tampilkan beranda,pergi beranda
Klik halaman awal,pergi beranda
Buka beranda website,pergi beranda
Masuk ke halaman depan,pergi beranda
Akses halaman beranda,pergi beranda
Pindah ke halaman utama,pergi beranda
Tampilkan halaman beranda,pergi beranda
Klik beranda,pergi beranda
Buka tautan utama,pergi beranda
Navigasi ke beranda website,pergi beranda
Tampilkan tampilan depan situs,pergi beranda
Kunjungi laman beranda,pergi beranda
Masuk ke halaman utama situs,pergi beranda
Akses ke halaman awal,pergi beranda
Buka tab beranda situs,pergi beranda
arahkan ke halaman kelas,pergi beranda
Buka halaman depan web,pergi beranda
pilih halaman kelas,pergi kelas
masuk kelas,pergi kelas
buka halaman kelas,pergi kelas
buka kelas,pergi kelas
klik menu kelas,pergi kelas
tampilkan halaman kelas,pergi kelas
akses ke halaman kelas,pergi kelas
masuk ke halaman kelas,pergi kelas
klik tautan kelas,pergi kelas
buka situs di halaman kelas,pergi kelas
pergi ke halaman kelas,pergi kelas
klik kelas,pergi kelas
buka tab halaman kelas,pergi kelas
kunjungi halaman kelas,pergi kelas
pergi ke kelas,pergi kelas
kunjungi halaman kelas,pergi kelas
masuk halaman kelas,pergi kelas
pergi kelas,pergi kelas
pergi ke halaman kelas,pergi kelas
kunjungi halaman kelas,pergi kelas
buka kelas situs,pergi kelas
tampilkan halaman kelas,pergi kelas
beralih ke halaman kelas,pergi kelas
beralih ke halaman kelas,pergi kelas
tampilkan kelas,pergi kelas
Masuk ke course,pergi kelas
buka Course,pergi kelas
Masuk ke halaman course,pergi kelas
Kembali ke halaman course,pergi kelas
kembali ke course,pergi kelas
course,pergi kelas
ke course,pergi kelas
kembali course,pergi kelas
arahkan ke course,pergi kelas
pindahkan ke course,pergi kelas
Masuk ke rapor,pergi rapor
go to rapor,pergi rapor
pergi ke rapor,pergi rapor
pergi rapor,pergi rapor
kambali ke rapor,pergi rapor
rapor,pergi rapor
arahkan ke rapor,pergi rapor
menuju ke rapor,pergi rapor
buka rapor,pergi rapor
open rapor,pergi rapor
kembali rapor,pergi rapor
menuju rapor,pergi rapor
arahkan ke rapor,pergi rapor
arahkan ke rapor,pergi rapor
rapor,pergi rapor
pergi ke rapor,pergi rapor
kembali ke rapor,pergi rapor
pergi ke rapot,pergi rapor
kembali ke rapot,pergi rapor
Buka halaman peringkat.,pergi peringkat
Menuju ke leaderboard.,pergi peringkat
Akses ke halaman peringkat.,pergi peringkat
Lihat peringkat saya.,pergi peringkat
Tampilkan leaderboard.,pergi peringkat
Buka leaderboard.,pergi peringkat
masuk ke peringkat,pergi peringkat
pilih peringkat,pergi peringkat
Lihat peringkat.,pergi peringkat
Arahkan ke halaman peringkat.,pergi peringkat
Kunjungi leaderboard.,pergi peringkat
Masuk ke leaderboard.,pergi peringkat
Buka halaman peringkat situs.,pergi peringkat
Lihat peringkat pengguna.,pergi peringkat
Buka tab leaderboard.,pergi peringkat
Akses leaderboard situs.,pergi peringkat
Tampilkan peringkat.,pergi peringkat
Kunjungi halaman peringkat.,pergi peringkat
Buka tautan leaderboard,pergi peringkat
Lihat leaderboard situs.,pergi peringkat
saya dimana,saya dimana
ini dimana,saya dimana
posisi dimana,saya dimana
cek posisi,saya dimana
Saya ada di mana,saya dimana
Saya berada di mana,saya dimana
Cek posisi saya dong,saya dimana
Dimana lokasi saya sekarang,saya dimana
Apa posisi saya saat ini,saya dimana
Saya ada di mana ya,saya dimana
Bisa cek keberadaan saya,saya dimana
Dimana letak saya sekarang,saya dimana
Tolong informasikan di mana saya,saya dimana
Posisi saya sekarang di mana,saya dimana
Cari tahu di mana saya berada,saya dimana
Buka instruksi.,jelaskan instruksi
Tampilkan panduan.,jelaskan instruksi
Akses fitur bantuan.,jelaskan instruksi
Jelaskan instruksi.,jelaskan instruksi
Buka halaman bantuan.,jelaskan instruksi
Lihat petunjuk.,jelaskan instruksi
Buka panduan pengguna.,jelaskan instruksi
Tampilkan instruksi.,jelaskan instruksi
Arahkan ke halaman bantuan.,jelaskan instruksi
Buka tab bantuan.,jelaskan instruksi
Cari tahu cara menggunakan.,jelaskan instruksi
Tunjukkan bantuan.,jelaskan instruksi
Tampilkan petunjuk.,jelaskan instruksi
Buka fitur bantuan.,jelaskan instruksi
Saya butuh panduan.,jelaskan instruksi
Buka menu bantuan.,jelaskan instruksi
Bantu saya memahami.,jelaskan instruksi
Saya memerlukan bantuan.,jelaskan instruksi
Tampilkan panduan pengguna.,jelaskan instruksi
Buka tab instruksi.,jelaskan instruksi
Muat ulang halaman.,muat ulang halaman
Segarkan tampilan.,muat ulang halaman
Perbarui layar.,muat ulang halaman
Load ulang halaman.,muat ulang halaman
Akses fitur refresh.,muat ulang halaman
